date,product_id,short_name,keywordText,current_rank
2020-12-25,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,french press,30
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,french presses,15
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,press coffee maker,23
2020-07-26,2020-02-10,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,stainless french press,80
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,coffee press bodum,73
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,oxo french press,50
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,french press glass,117
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,best coffee french press,20
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,french press cup,270
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,large french press,25
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,french press insulated,87
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,french coffee,193
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,insulated french press coffee maker,79
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,coffee press camping,64
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,camping coffee press,90
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,french press thermos,51
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,bodum,176
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,cold press,133
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,bodum french press parts,41
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,camping coffee maker,148
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,gator coffee,244
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,bodum travel french press,290
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,large french press 64 oz,40
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,steel french press,72
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,french press stainless steel,85
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,stainless steel coffee press,76
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,coffee press stainless steel,65
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,stainless steel french press coffee maker,60
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,stainless steel french press,62
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,sterling pro stainless steel french press,11
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,french press coffee maker stainless steel,68
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,bonjour french press,17
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,prensa francesa,23
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,prensa francesa para cafe,27
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,metal french press,61
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,stanley french press,27
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,stanley coffee press,47
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,secura french press,33
2020-07-26,B01MQXRVUQ,Professional Grade 34 oz French Press Coffee Maker & Premium Milk Frother With Stainless Steel Stand - Save Time & Money With Homemade Lattes! Spice Up Your Countertop & Taste Buds Every Morning!,american press coffee maker,53
